CHARACTER_NAME;[GetFullName];[GetFullName];;;;;;;;;;;;x
CHARACTER_INFO;[GetInfo];[GetInfo];;;;;;;;;;;;x
DOMAIN_EXPAND;ｧYClick to expandｧW;ｧYClick to expandｧW;;;;;;;;;;;;x
DOMAIN_COLLAPSE;ｧYClick to collapseｧW;ｧYClick to collapseｧW;;;;;;;;;;;;x
DOMAIN_EXPAND_ALL;Expand all;Expand all;;;;;;;;;;;;x
DOMAIN_COLLAPSE_ALL;Collapse all;Collapse all;;;;;;;;;;;;x
DOMAIN_FILTER_COURTIERS;ｧYClick to filter landless courtiersｧW;ｧYClick to filter landless courtiersｧW;;;;;;;;;;;;x
NO_VASSALS;Has no court or vassals.;Has no court or vassals.;;;;;;;;;;;;x
LIEGE_NAME;主君：ｧY$LIEGE$ｧW;Liege: ｧY$LIEGE$ｧW;;;;;;;;;;;;x
EXPAND;Expand;Expand;;;;;;;;;;;;x
COLLAPSE;Collapse;Collapse;;;;;;;;;;;;x
DOMAIN_OPINION;Opinion of $CHAR$: $OPINION$;Opinion of $CHAR$: $OPINION$;;;;;;;;;;;;x
DOMAIN_HEIR;[GetFullName];[GetFullName];;;;;;;;;;;;x
DOMAIN_HEIR_DELAYED;Father: [Father.GetFullName]\nMother: [Mother.GetFullName];Father: [Father.GetFullName]\nMother: [Mother.GetFullName];;;;;;;;;;;;x
DOMAIN_COURTIERS;Show Courtiers;Show Courtiers;;;;;;;;;;;;x
TOTAL;Total;Total;;;;;;;;;;;;x
BUDGET;Budget;Budget;;;;;;;;;;;;x
CLAN_NAME;ｧY$CLAN$ｧW家;Clan ｧY$CLAN$ｧW;;;;;;;;;;;;x
MAPMODE_TERRAIN;Terrain;Terrain;;;;;;;;;;;;x
MAPMODE_CLANS;Clans;Clans;;;;;;;;;;;;x
MAPMODE_RELATIONSHIPS;Relationships;Relationships;;;;;;;;;;;;x
MAPMODE_KUNI;Kuni;Kuni;;;;;;;;;;;;x
MAPMODE_REVOLTRISK;Revolt Risk;Revolt Risk;;;;;;;;;;;;x
MAPMODE_DUCHIES;De Jure Duchies;De Jure Duchies;;;;;;;;;;;;x
MAPMODE_KINGDOMS;De Jure Kingdoms;De Jure Kingdoms;;;;;;;;;;;;x
MAPMODE_DIPLO;Diplomatic Relations;Diplomatic Relations;;;;;;;;;;;;x
MAPMODE_RELIGION;Factions;Factions;;;;;;;;;;;;x
MAPMODE_DEMESNE;Demesne;Demesne;;;;;;;;;;;;x
CLAN_MENU;Clan;Clan;;;;;;;;;;;;x
county_of;次の国人;Kokujin of;;;;;;;;;;;;x
duchy_of;次の大名;Daimyo of;;;;;;;;;;;;x
SUCCESSION_DESC;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age $AGE$. Long live $NEW_TITLE$ $NEW_NAME$!\n$HONOR$;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age $AGE$. Long live $NEW_TITLE$ $NEW_NAME$!\n$HONOR$;;;;;;;;;;;;x
SUCCESSION_INHERITED;$NEW_NAME$ inherits $TITLES$.;$NEW_NAME$ inherits $TITLES$.;;;;;;;;;;;;x
succ_desc_default;has passed away;has passed away;;;;;;;;;;;;x
succ_desc_1;has been elevated to the heavenly mansion;has been elevated to the heavenly mansion;;;;;;;;;;;;x
succ_desc_2;has gone into repose;has gone into repose;;;;;;;;;;;;x
succ_desc_3;fell into a final sleep;fell into a final sleep;;;;;;;;;;;;x
succ_desc_4;has set his course for Heaven;has set his course for Heaven;;;;;;;;;;;;x
succ_desc_5;has been grasped by honourable death;has been grasped by honourable death;;;;;;;;;;;;x
succ_desc_6;has been taken from this world;has been taken from this world;;;;;;;;;;;;x
succ_desc_7;has departed this life;has departed this life;;;;;;;;;;;;x
